Depth,Density
357.68,1.91
357.84,1.97
357.99,2.03
358.14,2.09
358.29,2.12
358.44,2.13
358.6,2.13
358.75,2.15
358.9,2.17
359.05,2.21
359.21,2.31
359.36,2.42
359.51,2.5
359.66,2.51
359.82,2.51
359.97,2.52
360.12,2.49
360.27,2.33
360.43,2.11
360.58,1.97
360.73,1.93
360.88,1.97
361.04,2.05
361.19,2.11
361.34,2.13
361.49,2.16
361.65,2.24
361.8,2.33
361.95,2.44
362.1,2.53
362.25,2.58
362.41,2.61
362.56,2.62
362.71,2.63
362.86,2.63
363.02,2.64
363.17,2.64
363.32,2.63
363.47,2.62
363.63,2.6
363.78,2.58
363.93,2.57
364.08,2.57
364.24,2.58
364.39,2.59
364.54,2.6
364.69,2.6
364.85,2.6
365,2.6
365.15,2.59
365.3,2.58
365.46,2.58
365.61,2.57
365.76,2.56
365.91,2.53
366.06,2.5
366.22,2.46
366.37,2.44
366.52,2.44
366.67,2.45
366.83,2.45
366.98,2.44
367.13,2.42
367.28,2.39
367.44,2.38
367.59,2.36
367.74,2.35
367.89,2.34
368.05,2.34
368.2,2.34
368.35,2.35
368.5,2.35
368.66,2.35
368.81,2.35
368.96,2.34
369.11,2.34
369.27,2.34
369.42,2.35
369.57,2.36
369.72,2.36
369.87,2.36
370.03,2.36
370.18,2.36
370.33,2.37
370.48,2.39
370.64,2.4
370.79,2.42
370.94,2.42
371.09,2.43
371.25,2.43
371.4,2.45
371.55,2.47
371.7,2.5
371.86,2.53
372.01,2.55
372.16,2.55
372.31,2.55
372.47,2.54
372.62,2.53
372.77,2.52
372.92,2.49
373.08,2.46
373.23,2.45
373.38,2.44
373.53,2.44
373.68,2.44
373.84,2.44
373.99,2.44
374.14,2.43
374.29,2.43
374.45,2.42
374.6,2.42
374.75,2.42
374.9,2.43
375.06,2.43
375.21,2.43
375.36,2.42
375.51,2.41
375.67,2.39
375.82,2.37
375.97,2.36
376.12,2.36
376.28,2.37
376.43,2.39
376.58,2.4
376.73,2.4
376.89,2.39
377.04,2.39
377.19,2.39
377.34,2.38
377.49,2.38
377.65,2.38
377.8,2.37
377.95,2.36
378.1,2.35
378.26,2.37
378.41,2.4
378.56,2.43
378.71,2.45
378.87,2.45
379.02,2.43
379.17,2.41
379.32,2.4
379.48,2.41
379.63,2.43
379.78,2.45
379.93,2.48
380.09,2.49
380.24,2.5
380.39,2.5
380.54,2.5
380.7,2.5
380.85,2.51
381,2.53
381.15,2.56
381.3,2.58
381.46,2.55
381.61,2.41
381.76,2.19
381.91,2.01
382.07,1.93
382.22,1.95
382.37,2.06
382.52,2.25
